epoch,episodes,wins,draws,losses,win_rate,avg_reward,avg_steps,learner_rating,num_players
1,100,52,0,48,0.520000,0.050000,9.350000,1546.540220,2
2,100,49,0,51,0.490000,-0.010000,9.300000,1452.979946,2
3,100,50,0,50,0.500000,0.050000,8.920000,1566.786240,2
4,100,47,0,53,0.470000,-0.120000,8.970000,1536.377588,2
5,100,61,0,39,0.610000,0.400000,8.960000,1542.048847,2
6,100,54,0,46,0.540000,0.130000,9.160000,1444.983392,2
7,100,46,0,54,0.460000,-0.190000,8.930000,1470.566710,2
8,100,64,0,36,0.640000,0.480000,8.900000,1544.740263,2
9,100,54,0,46,0.540000,0.220000,9.020000,1516.820972,2
10,100,61,0,39,0.610000,0.370000,9.460000,1588.415242,2
11,100,49,0,51,0.490000,0.030000,9.670000,1513.814257,2
12,100,58,0,42,0.580000,0.360000,9.540000,1525.920588,2
13,100,62,0,38,0.620000,0.450000,9.730000,1536.191635,2
14,100,64,0,36,0.640000,0.630000,9.950000,1565.136976,2
15,100,55,0,45,0.550000,0.330000,9.590000,1483.512640,2
16,100,65,0,35,0.650000,0.610000,10.330000,1596.948994,2
17,100,75,0,25,0.750000,1.030000,9.700000,1629.034248,2
18,100,76,0,24,0.760000,1.060000,10.400000,1617.616067,2
19,100,63,0,37,0.630000,0.650000,11.030000,1530.896776,2
20,100,75,1,24,0.750000,1.190000,11.310000,1586.067464,2
21,100,52,0,48,0.520000,0.080000,16.140000,1624.657733,3
22,100,52,1,47,0.520000,0.010000,17.010000,1582.303963,3
23,100,61,0,39,0.610000,0.350000,17.190000,1661.068070,3
24,100,61,0,39,0.610000,0.330000,18.380000,1680.132730,3
25,100,69,0,31,0.690000,0.820000,19.570000,1649.477296,3
26,100,71,0,29,0.710000,0.920000,18.950000,1708.803659,3
27,100,74,1,25,0.740000,0.940000,18.910000,1695.802165,3
28,100,70,0,30,0.700000,0.730000,20.710000,1687.870467,3
29,100,75,0,25,0.750000,1.120000,19.910000,1697.572662,3
30,100,74,0,26,0.740000,1.180000,20.540000,1690.186438,3
31,100,80,0,20,0.800000,1.350000,20.570000,1717.840200,3
32,100,67,0,33,0.670000,0.820000,20.800000,1684.098802,3
33,100,73,0,27,0.730000,1.100000,21.900000,1734.385706,3
34,100,81,0,19,0.810000,1.280000,21.600000,1770.175433,3
35,100,80,0,20,0.800000,1.560000,21.080000,1766.440261,3
36,100,81,0,19,0.810000,1.350000,19.890000,1748.680398,3
37,100,82,0,18,0.820000,1.520000,19.990000,1710.388268,3
38,100,87,0,13,0.870000,1.670000,21.200000,1795.040411,3
39,100,86,0,14,0.860000,1.540000,22.150000,1765.941405,3
40,100,83,0,17,0.830000,1.570000,22.650000,1753.535481,3
41,100,50,0,50,0.500000,0.030000,35.300000,1756.334559,4
42,100,47,0,53,0.470000,-0.150000,36.900000,1712.264896,4
43,100,57,0,43,0.570000,0.320000,37.750000,1734.419300,4
44,100,50,0,50,0.500000,0.060000,36.630000,1812.717171,4
45,100,59,0,41,0.590000,0.410000,37.300000,1783.378363,4
46,100,59,0,41,0.590000,0.400000,40.990000,1756.056620,4
47,100,58,0,42,0.580000,0.430000,37.150000,1822.432298,4
48,100,52,0,48,0.520000,0.160000,37.680000,1780.222484,4
49,100,66,0,34,0.660000,0.810000,40.360000,1843.063740,4
